character,archetype,gender,play,degree,weighted_degree,closeness,flow_betweenness,clustering_coefficient
Isabella,INNAMORATI,FEMALE,The Deserved Punishment,9,58,0.375,0.148,0.46
Flaminia,INNAMORATI,FEMALE,The Deserved Punishment,9,60,0.209,0.178,0.481
Franceschina,SERVI,FEMALE,The Deserved Punishment,9,56,0.281,0.146,0.459
Flavio,INNAMORATI,MALE,The Deserved Punishment,9,37,0.31,0.116,0.347
Pantalone,VECCHI,MALE,The Deserved Punishment,9,53,0.375,0.13,0.435
Pedrolino,SERVI,MALE,The Deserved Punishment,9,55,0.391,0.134,0.44
Orazio,INNAMORATI,MALE,The Deserved Punishment,9,55,0.391,0.137,0.443
Cinzio,INNAMORATI,MALE,The Deserved Punishment,9,45,0.474,0.107,0.385
Capitano,CAPITANI,MALE,The Deserved Punishment,9,26,0.529,0.072,0.25
Arlecchino,SERVI,MALE,The Deserved Punishment,9,49,0.265,0.153,0.414
Isabella,INNAMORATI,FEMALE,The Two Trusty Notaries,9,61,0.161,0.108,0.31
Franceschina,SERVI,FEMALE,The Two Trusty Notaries,9,73,0.18,0.13,0.339
Pedrolino,SERVI,MALE,The Two Trusty Notaries,9,110,0.11,0.198,0.433
Capitano,CAPITANI,MALE,The Two Trusty Notaries,9,42,0.25,0.063,0.227
Flaminia,INNAMORATI,FEMALE,The Two Trusty Notaries,9,50,0.225,0.082,0.272
Graziano,VECCHI,MALE,The Two Trusty Notaries,9,87,0.145,0.142,0.368
Pantalone,VECCHI,MALE,The Two Trusty Notaries,9,97,0.132,0.165,0.394
Arlecchino,SERVI,MALE,The Two Trusty Notaries,9,80,0.158,0.137,0.361
Flavio,INNAMORATI,MALE,The Two Trusty Notaries,9,40,0.257,0.068,0.24
Orazio,INNAMORATI,MALE,The Two Trusty Notaries,9,62,0.225,0.115,0.303
Pantalone,VECCHI,MALE,The Tutor,10,70,0.323,0.136,0.362
Orazio,INNAMORATI,MALE,The Tutor,10,74,0.185,0.152,0.386
Cataldo,VECCHI,MALE,The Tutor,10,48,0.385,0.091,0.287
Isabella,INNAMORATI,FEMALE,The Tutor,10,45,0.263,0.09,0.292
Pedrolino,SERVI,MALE,The Tutor,10,96,0.154,0.205,0.451
Capitano,CAPITANI,MALE,The Tutor,10,24,0.455,0.045,0.185
Arlecchino,SERVI,MALE,The Tutor,10,53,0.25,0.11,0.313
Flaminia,INNAMORATI,FEMALE,The Tutor,10,57,0.233,0.118,0.324
Fabrizio,INNAMORATI,MALE,The Tutor,10,45,0.37,0.086,0.28
Graziano,VECCHI,MALE,The Tutor,10,70,0.323,0.137,0.361
Burattino,SERVI,MALE,The Tutor,10,40,0.323,0.076,0.266
Orazio,INNAMORATI,MALE,The Faithful Loving Pilgrim,9,30,0.5,0.141,0.282
Isabella,INNAMORATI,FEMALE,The Faithful Loving Pilgrim,9,29,0.474,0.162,0.254
Capitano,CAPITANI,MALE,The Faithful Loving Pilgrim,9,28,0.562,0.1,0.261
Pedrolino,SERVI,MALE,The Faithful Loving Pilgrim,9,50,0.529,0.185,0.361
Pantalone,VECCHI,MALE,The Faithful Loving Pilgrim,9,44,0.529,0.152,0.338
Flaminia,INNAMORATI,FEMALE,The Faithful Loving Pilgrim,9,46,0.529,0.167,0.345
Franceschina,SERVI,FEMALE,The Faithful Loving Pilgrim,9,45,0.562,0.156,0.339
Arlecchino,SERVI,MALE,The Faithful Loving Pilgrim,9,32,0.346,0.158,0.301
Flavio,INNAMORATI,MALE,The Faithful Loving Pilgrim,9,21,0.643,0.113,0.202
Graziano,VECCHI,MALE,The Faithful Loving Pilgrim,9,15,0.75,0.076,0.176
Orazio,INNAMORATI,MALE,The Husband,9,31,0.409,0.121,0.344
Capitano,CAPITANI,MALE,The Husband,8,32,0.409,0.123,0.41
Pedrolino,SERVI,MALE,The Husband,9,58,0.205,0.252,0.511
Pantalone,VECCHI,MALE,The Husband,9,37,0.391,0.134,0.389
Graziano,VECCHI,MALE,The Husband,9,37,0.321,0.135,0.401
Flaminia,INNAMORATI,FEMALE,The Husband,8,32,0.409,0.118,0.41
Olivetta,SERVI,FEMALE,The Husband,9,45,0.273,0.18,0.44
Franceschina,SERVI,FEMALE,The Husband,9,21,0.5,0.078,0.274
Isabella,INNAMORATI,FEMALE,The Husband,9,30,0.36,0.121,0.344
Arlecchino,SERVI,MALE,The Husband,7,25,0.36,0.087,0.379
Orazio,INNAMORATI,MALE,The Tragic Events,10,33,0.526,0.164,0.228
Flavio,INNAMORATI,MALE,The Tragic Events,10,50,0.5,0.24,0.293
Burattino,SERVI,MALE,The Tragic Events,4,10,0.4,0.028,0.278
Pantalone,VECCHI,MALE,The Tragic Events,9,25,0.476,0.107,0.246
