character,archetype,gender,play,degree,weighted_degree,closeness,flow_betweenness,clustering_coefficient
Orazio,INNAMORATI,MALE,The Man Presumed Dead,9,25,0.562,0.0,0.429
Isabella,INNAMORATI,FEMALE,The Man Presumed Dead,9,33,0.529,0.0,0.507
Pantalone,VECCHI,MALE,The Man Presumed Dead,9,24,0.562,0.0,0.419
Pedrolino,SERVI,MALE,The Man Presumed Dead,9,27,0.529,0.0,0.451
Laura,VECCHI,FEMALE,The Man Presumed Dead,9,27,0.529,0.0,0.451
Flaminia,INNAMORATI,FEMALE,The Man Presumed Dead,9,26,0.529,0.0,0.444
Burattino,SERVI,MALE,The Man Presumed Dead,9,26,0.6,0.014,0.423
Capitano,CAPITANI,MALE,The Man Presumed Dead,9,24,0.562,0.0,0.417
Flavio,INNAMORATI,MALE,The Man Presumed Dead,9,25,0.562,0.0,0.429
Arlecchino,SERVI,MALE,The Man Presumed Dead,9,9,1.0,0.806,0.24
Orazio,INNAMORATI,MALE,The Faithful Loving Pilgrim,9,17,0.643,0.06,0.311
Isabella,INNAMORATI,FEMALE,The Faithful Loving Pilgrim,9,24,0.5,0.006,0.375
Capitano,CAPITANI,MALE,The Faithful Loving Pilgrim,9,17,0.643,0.084,0.314
Pedrolino,SERVI,MALE,The Faithful Loving Pilgrim,9,30,0.529,0.005,0.433
Pantalone,VECCHI,MALE,The Faithful Loving Pilgrim,9,24,0.562,0.012,0.384
Flaminia,INNAMORATI,FEMALE,The Faithful Loving Pilgrim,9,25,0.562,0.005,0.387
Franceschina,SERVI,FEMALE,The Faithful Loving Pilgrim,9,21,0.6,0.061,0.353
Arlecchino,SERVI,MALE,The Faithful Loving Pilgrim,9,28,0.346,0.0,0.437
Flavio,INNAMORATI,MALE,The Faithful Loving Pilgrim,9,16,0.643,0.107,0.298
Graziano,VECCHI,MALE,The Faithful Loving Pilgrim,9,12,0.75,0.212,0.262
Isabella,INNAMORATI,FEMALE,The Portrait,11,44,0.5,0.0,0.428
Pedrolino,SERVI,MALE,The Portrait,11,39,0.355,0.0,0.405
Capitano,CAPITANI,MALE,The Portrait,9,17,0.611,0.213,0.297
Arlecchino,SERVI,MALE,The Portrait,11,41,0.458,0.036,0.403
Silvia,INNAMORATI,FEMALE,The Portrait,9,27,0.44,0.008,0.408
Flaminia,INNAMORATI,FEMALE,The Portrait,11,36,0.524,0.045,0.38
Graziano,VECCHI,MALE,The Portrait,11,20,0.579,0.156,0.266
Pantalone,VECCHI,MALE,The Portrait,11,30,0.44,0.0,0.343
Flavio,INNAMORATI,MALE,The Portrait,11,30,0.55,0.06,0.346
Orazio,INNAMORATI,MALE,The Portrait,11,32,0.524,0.054,0.357
Vittoria,CAPITANI,FEMALE,The Portrait,9,18,0.524,0.069,0.304
Piombino,SERVI,MALE,The Portrait,9,20,0.524,0.067,0.318
Orazio,INNAMORATI,MALE,The Captain,9,42,0.281,0.0,0.457
Isabella,INNAMORATI,FEMALE,The Captain,11,40,0.273,0.0,0.445
Pedrolino,SERVI,MALE,The Captain,9,43,0.273,0.0,0.463
Franceschina,SERVI,FEMALE,The Captain,9,30,0.333,0.009,0.378
Pantalone,VECCHI,MALE,The Captain,9,36,0.29,0.0,0.42
Graziano,VECCHI,MALE,The Captain,9,37,0.243,0.0,0.436
Capitano,CAPITANI,MALE,The Captain,11,35,0.3,0.0,0.408
Arlecchino,SERVI,MALE,The Captain,9,34,0.31,0.0,0.403
Flaminia,INNAMORATI,FEMALE,The Captain,9,36,0.273,0.0,0.422
Cassandro,VECCHI,MALE,The Captain,9,19,0.474,0.426,0.293
Orazio,INNAMORATI,MALE,The Jealous Old Man,10,44,0.355,0.0,0.457
Flavio,INNAMORATI,MALE,The Jealous Old Man,10,52,0.275,0.0,0.509
Pedrolino,SERVI,MALE,The Jealous Old Man,12,61,0.224,0.0,0.555
Pantalone,VECCHI,MALE,The Jealous Old Man,11,50,0.344,0.0,0.415
Isabella,INNAMORATI,FEMALE,The Jealous Old Man,11,50,0.344,0.0,0.415
Flaminia,INNAMORATI,FEMALE,The Jealous Old Man,11,42,0.44,0.121,0.371
Graziano,VECCHI,MALE,The Jealous Old Man,13,54,0.355,0.006,0.428
Cavicchio,SERVI,MALE,The Jealous Old Man,4,4,0.379,0.109,0.201
Burattino,SERVI,MALE,The Jealous Old Man,10,41,0.239,0.0,0.448
Olivetta,SERVI,FEMALE,The Jealous Old Man,10,19,0.524,0.476,0.274
Pasquella,SERVI,FEMALE,The Jealous Old Man,10,29,0.344,0.0,0.362
Capitano,CAPITANI,MALE,The Jealous Old Man,10,26,0.393,0.006,0.339
Orazio,INNAMORATI,MALE,The Tragic Events,10,21,0.588,0.043,0.319
Flavio,INNAMORATI,MALE,The Tragic Events,10,23,0.556,0.022,0.337
Burattino,SERVI,MALE,The Tragic Events,4,8,0.455,0.0,0.42
Pantalone,VECCHI,MALE,The Tragic Events,9,17,0.588,0.024,0.35
Pedrolino,SERVI,MALE,The Tragic Events,9,17,0.588,0.026,0.35
Flaminia,INNAMORATI,FEMALE,The Tragic Events,9,16,0.625,0.087,0.332
Franceschina,SERVI,FEMALE,The Tragic Events,11,26,0.385,0.0,0.449
Graziano,VECCHI,MALE,The Tragic Events,10,18,0.667,0.13,0.305
Arlecchino,SERVI,MALE,The Tragic Events,9,17,0.526,0.011,0.362
Isabella,INNAMORATI,FEMALE,The Tragic Events,10,17,0.625,0.095,0.297
Capitano,CAPITANI,MALE,The Tragic Events,9,11,0.769,0.163,0.28
Graziano,VECCHI,MALE,The Man Pretending Blindness,12,24,0.571,0.028,0.289
Isabella,INNAMORATI,FEMALE,The Man Pretending Blindness,12,30,0.429,0.0,0.332
Claudione,VECCHI,MALE,The Man Pretending Blindness,12,19,0.632,0.085,0.251
Arlecchino,SERVI,MALE,The Man Pretending Blindness,12,27,0.571,0.026,0.306
Ricciolina,SERVI,FEMALE,The Man Pretending Blindness,12,19,0.632,0.1,0.25
Cinzio,INNAMORATI,MALE,The Man Pretending Blindness,12,30,0.522,0.009,0.331
Pantalone,VECCHI,MALE,The Man Pretending Blindness,12,36,0.545,0.002,0.364
Flaminia,INNAMORATI,FEMALE,The Man Pretending Blindness,12,28,0.6,0.089,0.303
Pedrolino,SERVI,MALE,The Man Pretending Blindness,12,43,0.429,0.0,0.407
Franceschina,SERVI,FEMALE,The Man Pretending Blindness,14,46,0.5,0.011,0.399
Flavio,INNAMORATI,MALE,The Man Pretending Blindness,12,29,0.571,0.05,0.307
Burattino,SERVI,MALE,The Man Pretending Blindness,12,24,0.706,0.278,0.267
Orazio,INNAMORATI,MALE,The Man Pretending Blindness,12,26,0.571,0.009,0.304
Pantalone,VECCHI,MALE,Flavio the Fake Magician,11,37,0.314,0.0,0.498
Graziano,VECCHI,MALE,Flavio the Fake Magician,11,21,0.55,0.185,0.35
Pedrolino,SERVI,MALE,Flavio the Fake Magician,11,38,0.344,0.0,0.499
Capitano,CAPITANI,MALE,Flavio the Fake Magician,11,26,0.44,0.005,0.403
Arlecchino,SERVI,MALE,Flavio the Fake Magician,11,33,0.344,0.0,0.469
Flaminia,INNAMORATI,FEMALE,Flavio the Fake Magician,11,29,0.393,0.0,0.433
Isabella,INNAMORATI,FEMALE,Flavio the Fake Magician,11,29,0.44,0.018,0.428
