author,PC1,PC2
random,-3.1343793862380753,-0.14528015023330637
turgenev,-2.0121359939788666,1.7624914182468836
hemingway,1.031346567077117,1.3809857888460928
butler,-0.6079149157689911,2.528550902114664
random,-2.7287822733841143,-0.5838488383316726
turgenev,-2.2209214460626003,0.7124362037918612
hemingway,0.893014042946974,1.471694420525123
butler,-0.8138816847007668,1.755032576197003
random,-3.2379432497585503,-0.8591165380908963
turgenev,-0.840973478731324,1.5088873866656094
hemingway,1.7558371202201284,1.6265389740103635
butler,1.282078217573586,1.9525954266207586
random,-1.9185849193719275,-1.3115803913813178
turgenev,-1.4586615384756347,1.6146406339376194
hemingway,1.559034978559666,1.2705895624057864
butler,1.5939974502282994,1.6498023791537537
random,-1.318285988493874,1.139969467179979
turgenev,-0.9647342351887979,1.1841801346876504
hemingway,1.204523165082664,0.9669593424285476
butler,1.45549673892134,1.0526495375902072
random,-4.801548619674575,-0.5804980209687538
turgenev,-0.6200897784024666,-0.06876725718865051
hemingway,0.9483110931145782,0.2040929323124403
butler,-1.2737856644905827,0.9477993940633924
random,-3.5647906175055235,-0.36815113560442425
turgenev,-2.093395950938562,0.21125870995299356
hemingway,1.4680467286627341,1.8334023118188238
butler,0.40366644956028386,2.0740918516509956
random,-1.5485469236823801,0.04177909339340957
turgenev,-2.134378382618045,0.5473887233451403
hemingway,2.237792999217024,2.1535306586187106
butler,0.9049504166627362,3.3408560154046474
random,-3.457126459011934,1.75128598273335
turgenev,-0.9408025336715171,1.2428747193419853
hemingway,1.5635329959564497,1.1493095358339034
butler,0.2967459988796187,2.770858967363328
random,-2.2648912408812,-0.29648848922013527
turgenev,-3.5457743792125993,2.017988376260111
hemingway,0.7738822422589251,0.26414767550493035
butler,0.15080016579041278,2.3395452429529366
random,-3.8563265428174462,0.22216562454621702
turgenev,0.2695109748465696,1.3509637346310492
hemingway,1.546544848453311,2.288720285179683
butler,2.6530208287752766,1.3563069464615587
random,-3.610548394868043,2.032362701188727
turgenev,0.16189796424967628,0.8438085978300387
hemingway,1.1014964025517708,1.7129214100856873
butler,0.3767908480371581,1.8818080627808493
random,-3.5484023279033843,-0.9257517442924112
turgenev,-0.14710232408640822,1.2713292792463704
hemingway,-0.2581915638044683,1.0156276498073886
butler,-0.7017957834217216,2.183702392097761
random,-1.6834071218563116,-1.3263733465306649
turgenev,-1.9463766126786126,0.724205122505091
hemingway,1.9491921963030299,1.6809987972038982
butler,-0.0613326892392983,2.619467823822518
random,-3.944461569213463,-1.1639893020650642
turgenev,-2.11806817260197,1.208733804398884
hemingway,0.18419185256002124,1.155085432152567
butler,-1.064983451465638,2.117929386207998
random,-3.246035092100974,-0.35780690167881574
turgenev,0.17748100172455805,1.7798860073742966
hemingway,1.0080877630924423,1.4974970200023525
butler,1.286465789252476,2.199498590142255
random,-2.7038966086960836,-1.2274483001475947
turgenev,-2.298413293811007,-0.06611850882230297
hemingway,1.4238424784864023,1.940233479761286
butler,-0.4865104023947819,1.5733840832096413
random,-2.9214141998201,-1.6283961821473243
turgenev,-0.8180029320093424,0.19946191275676595
hemingway,1.4599444548917804,1.8346596736854885
butler,0.5289146048396509,2.2351230430989983
random,-2.936589846124914,-0.4261166396502742
turgenev,-0.8763987584543137,2.202386111457983
hemingway,,
butler,-0.6696488966786174,1.732661225650601
random,-3.4895844144288954,-2.166249214633047
turgenev,-1.8580079929356124,0.8553847746839457
hemingway,,
butler,-2.0086335495982213,1.9203863470230598
random,,
turgenev,-0.854135361671049,0.7908730799187439
hemingway,,
butler,,
