character,archetype,gender,play,degree,weighted_degree,closeness,flow_betweenness,clustering_coefficient
Isabella,INNAMORATI,FEMALE,The Deserved Punishment,1.0,1.159,1.13,1.104,1.247
Flaminia,INNAMORATI,FEMALE,The Deserved Punishment,1.0,1.199,0.63,1.328,1.304
Franceschina,SERVI,FEMALE,The Deserved Punishment,1.0,1.119,0.846,1.09,1.244
Flavio,INNAMORATI,MALE,The Deserved Punishment,1.0,0.739,0.934,0.866,0.94
Pantalone,VECCHI,MALE,The Deserved Punishment,1.0,1.059,1.13,0.97,1.179
Pedrolino,SERVI,MALE,The Deserved Punishment,1.0,1.099,1.178,1.0,1.192
Orazio,INNAMORATI,MALE,The Deserved Punishment,1.0,1.099,1.178,1.022,1.201
Cinzio,INNAMORATI,MALE,The Deserved Punishment,1.0,0.899,1.428,0.799,1.043
Capitano,CAPITANI,MALE,The Deserved Punishment,1.0,0.52,1.593,0.537,0.678
Arlecchino,SERVI,MALE,The Deserved Punishment,1.0,0.979,0.798,1.142,1.122
Isabella,INNAMORATI,FEMALE,The Two Trusty Notaries,1.0,1.221,0.491,0.806,0.838
Franceschina,SERVI,FEMALE,The Two Trusty Notaries,1.0,1.461,0.549,0.97,0.916
Pedrolino,SERVI,MALE,The Two Trusty Notaries,1.0,2.201,0.335,1.478,1.17
Capitano,CAPITANI,MALE,The Two Trusty Notaries,1.0,0.84,0.762,0.47,0.614
Flaminia,INNAMORATI,FEMALE,The Two Trusty Notaries,1.0,1.001,0.686,0.612,0.735
Graziano,VECCHI,MALE,The Two Trusty Notaries,1.0,1.741,0.442,1.06,0.995
Pantalone,VECCHI,MALE,The Two Trusty Notaries,1.0,1.941,0.402,1.231,1.065
Arlecchino,SERVI,MALE,The Two Trusty Notaries,1.0,1.601,0.482,1.022,0.976
Flavio,INNAMORATI,MALE,The Two Trusty Notaries,1.0,0.8,0.784,0.507,0.649
Orazio,INNAMORATI,MALE,The Two Trusty Notaries,1.0,1.241,0.686,0.858,0.819
Pantalone,VECCHI,MALE,The Tutor,1.0,1.263,0.942,1.106,0.992
Orazio,INNAMORATI,MALE,The Tutor,1.0,1.336,0.539,1.236,1.058
Cataldo,VECCHI,MALE,The Tutor,1.0,0.866,1.122,0.74,0.786
Isabella,INNAMORATI,FEMALE,The Tutor,1.0,0.812,0.767,0.732,0.8
