character,archetype,gender,play,degree,weighted_degree,closeness,flow_betweenness,clustering_coefficient
Orazio,INNAMORATI,MALE,The Man Presumed Dead,1.0,0.503,1.683,0.0,1.153
Isabella,INNAMORATI,FEMALE,The Man Presumed Dead,1.0,0.664,1.584,0.0,1.363
Pantalone,VECCHI,MALE,The Man Presumed Dead,1.0,0.483,1.683,0.0,1.126
Pedrolino,SERVI,MALE,The Man Presumed Dead,1.0,0.543,1.584,0.0,1.212
Laura,VECCHI,FEMALE,The Man Presumed Dead,1.0,0.543,1.584,0.0,1.212
Flaminia,INNAMORATI,FEMALE,The Man Presumed Dead,1.0,0.523,1.584,0.0,1.194
Burattino,SERVI,MALE,The Man Presumed Dead,1.0,0.523,1.796,0.104,1.137
Capitano,CAPITANI,MALE,The Man Presumed Dead,1.0,0.483,1.683,0.0,1.121
Flavio,INNAMORATI,MALE,The Man Presumed Dead,1.0,0.503,1.683,0.0,1.153
Arlecchino,SERVI,MALE,The Man Presumed Dead,1.0,0.181,2.994,6.015,0.645
Orazio,INNAMORATI,MALE,The Faithful Loving Pilgrim,1.0,0.341,1.943,0.448,0.836
Isabella,INNAMORATI,FEMALE,The Faithful Loving Pilgrim,1.0,0.482,1.511,0.045,1.008
Capitano,CAPITANI,MALE,The Faithful Loving Pilgrim,1.0,0.341,1.943,0.627,0.844
Pedrolino,SERVI,MALE,The Faithful Loving Pilgrim,1.0,0.602,1.598,0.037,1.164
Pantalone,VECCHI,MALE,The Faithful Loving Pilgrim,1.0,0.482,1.698,0.09,1.032
Flaminia,INNAMORATI,FEMALE,The Faithful Loving Pilgrim,1.0,0.502,1.698,0.037,1.04
Franceschina,SERVI,FEMALE,The Faithful Loving Pilgrim,1.0,0.421,1.813,0.455,0.949
Arlecchino,SERVI,MALE,The Faithful Loving Pilgrim,1.0,0.562,1.045,0.0,1.175
Flavio,INNAMORATI,MALE,The Faithful Loving Pilgrim,1.0,0.321,1.943,0.799,0.801
Graziano,VECCHI,MALE,The Faithful Loving Pilgrim,1.0,0.241,2.266,1.582,0.704
Isabella,INNAMORATI,FEMALE,The Portrait,1.065,0.769,1.471,0.0,1.266
Pedrolino,SERVI,MALE,The Portrait,1.065,0.682,1.044,0.0,1.198
Capitano,CAPITANI,MALE,The Portrait,0.871,0.297,1.797,1.805,0.879
Arlecchino,SERVI,MALE,The Portrait,1.065,0.717,1.347,0.305,1.192
Silvia,INNAMORATI,FEMALE,The Portrait,0.871,0.472,1.294,0.068,1.207
Flaminia,INNAMORATI,FEMALE,The Portrait,1.065,0.629,1.541,0.381,1.124
Graziano,VECCHI,MALE,The Portrait,1.065,0.35,1.703,1.322,0.787
Pantalone,VECCHI,MALE,The Portrait,1.065,0.525,1.294,0.0,1.015
Flavio,INNAMORATI,MALE,The Portrait,1.065,0.525,1.618,0.508,1.024
Orazio,INNAMORATI,MALE,The Portrait,1.065,0.559,1.541,0.458,1.056
Vittoria,CAPITANI,FEMALE,The Portrait,0.871,0.315,1.541,0.585,0.899
Piombino,SERVI,MALE,The Portrait,0.871,0.35,1.541,0.568,0.941
Orazio,INNAMORATI,MALE,The Captain,1.0,0.841,0.854,0.0,1.228
Isabella,INNAMORATI,FEMALE,The Captain,1.222,0.801,0.83,0.0,1.196
Pedrolino,SERVI,MALE,The Captain,1.0,0.861,0.83,0.0,1.245
Franceschina,SERVI,FEMALE,The Captain,1.0,0.601,1.012,0.067,1.016
Pantalone,VECCHI,MALE,The Captain,1.0,0.721,0.881,0.0,1.129
Graziano,VECCHI,MALE,The Captain,1.0,0.741,0.739,0.0,1.172
Capitano,CAPITANI,MALE,The Captain,1.222,0.701,0.912,0.0,1.097
Arlecchino,SERVI,MALE,The Captain,1.0,0.681,0.942,0.0,1.083
Flaminia,INNAMORATI,FEMALE,The Captain,1.0,0.721,0.83,0.0,1.134
Cassandro,VECCHI,MALE,The Captain,1.0,0.381,1.441,3.179,0.788
Orazio,INNAMORATI,MALE,The Jealous Old Man,1.017,0.808,1.092,0.0,1.437
Flavio,INNAMORATI,MALE,The Jealous Old Man,1.017,0.955,0.846,0.0,1.601
Pedrolino,SERVI,MALE,The Jealous Old Man,1.22,1.12,0.689,0.0,1.745
Pantalone,VECCHI,MALE,The Jealous Old Man,1.119,0.918,1.058,0.0,1.305
Isabella,INNAMORATI,FEMALE,The Jealous Old Man,1.119,0.918,1.058,0.0,1.305
Flaminia,INNAMORATI,FEMALE,The Jealous Old Man,1.119,0.771,1.354,0.992,1.167
Graziano,VECCHI,MALE,The Jealous Old Man,1.322,0.992,1.092,0.049,1.346
Cavicchio,SERVI,MALE,The Jealous Old Man,0.407,0.073,1.166,0.893,0.632
Burattino,SERVI,MALE,The Jealous Old Man,1.017,0.753,0.735,0.0,1.409
Olivetta,SERVI,FEMALE,The Jealous Old Man,1.017,0.349,1.612,3.902,0.862
Pasquella,SERVI,FEMALE,The Jealous Old Man,1.017,0.533,1.058,0.0,1.138
Capitano,CAPITANI,MALE,The Jealous Old Man,1.017,0.477,1.209,0.049,1.066
Orazio,INNAMORATI,MALE,The Tragic Events,1.122,0.425,1.903,0.326,0.976
Flavio,INNAMORATI,MALE,The Tragic Events,1.122,0.465,1.799,0.167,1.031
Burattino,SERVI,MALE,The Tragic Events,0.449,0.162,1.472,0.0,1.284
Pantalone,VECCHI,MALE,The Tragic Events,1.01,0.344,1.903,0.182,1.07
Pedrolino,SERVI,MALE,The Tragic Events,1.01,0.344,1.903,0.197,1.07
Flaminia,INNAMORATI,FEMALE,The Tragic Events,1.01,0.324,2.023,0.659,1.015
Franceschina,SERVI,FEMALE,The Tragic Events,1.235,0.526,1.246,0.0,1.373
Graziano,VECCHI,MALE,The Tragic Events,1.122,0.364,2.159,0.985,0.933
Arlecchino,SERVI,MALE,The Tragic Events,1.01,0.344,1.702,0.083,1.107
Isabella,INNAMORATI,FEMALE,The Tragic Events,1.122,0.344,2.023,0.72,0.908
Capitano,CAPITANI,MALE,The Tragic Events,1.01,0.222,2.489,1.235,0.856
Graziano,VECCHI,MALE,The Man Pretending Blindness,1.0,0.361,1.527,0.267,0.826
Isabella,INNAMORATI,FEMALE,The Man Pretending Blindness,1.0,0.451,1.147,0.0,0.949
Claudione,VECCHI,MALE,The Man Pretending Blindness,1.0,0.286,1.69,0.81,0.717
Arlecchino,SERVI,MALE,The Man Pretending Blindness,1.0,0.406,1.527,0.248,0.874
Ricciolina,SERVI,FEMALE,The Man Pretending Blindness,1.0,0.286,1.69,0.952,0.714
