character,archetype,gender,Arle,Bur,Cap,Cas,Cat,Cavi,Cinz,Clau,Fabr,Flam,Flav,Flavia,Fran,Graz,Gril,Hibr,Inn,Isa,Lau,Lid,Oliv,Oraz,Pant,Pasq,Pedr,Pio,Ric,Silv,Tof,Vit
Arlecchino,SERVI,MALE,2,18,70,1,1,0,8,4,3,50,53,1,38,56,1,1,1,55,2,0,1,50,57,1,78,1,2,1,1,1
Burattino,SERVI,MALE,18,0,22,0,1,0,3,6,3,26,34,0,20,27,1,0,0,37,1,0,1,26,35,1,37,0,3,0,0,0
Capitano,CAPITANI,MALE,70,22,2,1,1,0,4,1,4,51,51,1,39,45,1,1,1,51,4,1,2,41,49,3,72,0,1,1,1,0
Cassandro,VECCHI,MALE,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
Cataldo,VECCHI,MALE,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
Cavicchio,SERVI,MALE,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Cinzio,INNAMORATI,MALE,8,3,4,0,0,0,0,1,0,9,8,0,10,5,0,0,0,12,0,1,0,16,7,0,13,0,1,0,0,0
Claudione,VECCHI,MALE,4,6,1,0,0,0,1,0,0,2,2,0,3,5,0,0,0,2,0,0,0,2,6,0,4,0,1,0,0,0
Fabrizio,INNAMORATI,MALE,3,3,4,0,1,0,0,0,0,3,2,1,2,4,0,0,0,1,0,0,0,4,5,0,4,0,0,0,0,0
Flaminia,INNAMORATI,FEMALE,50,26,51,1,1,1,9,2,3,3,61,1,54,48,1,1,0,69,6,1,2,79,61,3,90,1,5,1,1,1
Flavio,INNAMORATI,MALE,53,34,51,0,0,0,8,2,2,61,2,1,44,43,1,1,0,72,3,1,1,65,55,4,86,1,3,1,1,1
Flavia,INNAMORATI,FEMALE,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Franceschina,SERVI,FEMALE,38,20,39,1,0,0,10,3,2,54,44,1,4,38,1,1,0,56,0,1,1,51,52,1,79,0,2,0,1,0
Graziano,VECCHI,MALE,56,27,45,1,1,1,5,5,4,48,43,1,38,2,1,1,0,44,1,0,3,47,72,4,81,1,4,1,1,1
Grillo,SERVI,MALE,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
Hibrahim,VECCHI,MALE,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0
Innkeeper,SERVI,MALE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isabella,INNAMORATI,FEMALE,55,37,51,1,1,1,12,2,1,69,72,0,56,44,1,1,0,4,4,1,3,89,62,5,101,1,3,1,1,1
Laura,VECCHI,FEMALE,2,1,4,0,0,0,0,0,0,6,3,0,0,1,0,0,0,4,0,0,0,4,4,0,3,0,0,0,0,0
Lidia,INNAMORATI,FEMALE,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
Olivetta,SERVI,FEMALE,1,1,2,0,0,0,0,0,0,2,1,0,1,3,0,0,0,3,0,0,0,2,3,1,4,0,0,0,0,0
Orazio,INNAMORATI,MALE,50,26,41,1,1,0,16,2,4,79,65,1,51,47,1,1,0,89,4,1,2,1,74,4,107,1,4,1,1,1
Pantalone,VECCHI,MALE,57,35,49,1,1,1,7,6,5,61,55,1,52,72,1,1,0,62,4,1,3,74,0,4,115,1,3,1,1,1
Pasquella,SERVI,FEMALE,1,1,3,0,0,0,0,0,0,3,4,0,1,4,0,1,0,5,0,0,1,4,4,0,6,0,0,0,1,0
Pedrolino,SERVI,MALE,78,37,72,1,1,0,13,4,4,90,86,1,79,81,1,1,0,101,3,1,4,107,115,6,3,1,3,1,1,1
Piombino,SERVI,MALE,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
Ricciolina,SERVI,FEMALE,2,3,1,0,0,0,1,1,0,5,3,0,2,4,0,0,0,3,0,0,0,4,3,0,3,0,0,0,0,0
Silvia,INNAMORATI,FEMALE,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
Tofano,VECCHI,MALE,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0
Vittoria,CAPITANI,FEMALE,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0
