character,archetype,gender,Arle,Bur,Cap,Cas,Cat,Cavi,Cinz,Clau,Fabr,Flam,Flav,Flavia,Fran,Graz,Gril,Hibr,Inn,Isa,Lau,Lid,Oliv,Oraz,Pant,Pasq,Pedr,Pio,Ric,Silv,Tof,Vit
Arlecchino,SERVI,MALE,0.0035714285714285713,0.03214285714285714,0.125,0.0017857142857142857,0.0017857142857142857,0.0,0.014285714285714285,0.007142857142857143,0.005357142857142857,0.08928571428571429,0.09464285714285714,0.0017857142857142857,0.06785714285714285,0.1,0.0017857142857142857,0.0017857142857142857,0.0017857142857142857,0.09821428571428571,0.0035714285714285713,0.0,0.0017857142857142857,0.08928571428571429,0.10178571428571428,0.0017857142857142857,0.1392857142857143,0.0017857142857142857,0.0035714285714285713,0.0017857142857142857,0.0017857142857142857,0.0017857142857142857
Burattino,SERVI,MALE,0.059602649006622516,0.0,0.0728476821192053,0.0,0.0033112582781456954,0.0,0.009933774834437087,0.019867549668874173,0.009933774834437087,0.08609271523178808,0.11258278145695365,0.0,0.06622516556291391,0.08940397350993377,0.0033112582781456954,0.0,0.0,0.12251655629139073,0.0033112582781456954,0.0,0.0033112582781456954,0.08609271523178808,0.11589403973509933,0.0033112582781456954,0.12251655629139073,0.0,0.009933774834437087,0.0,0.0,0.0
Capitano,CAPITANI,MALE,0.1338432122370937,0.04206500956022945,0.0038240917782026767,0.0019120458891013384,0.0019120458891013384,0.0,0.0076481835564053535,0.0019120458891013384,0.0076481835564053535,0.09751434034416825,0.09751434034416825,0.0019120458891013384,0.0745697896749522,0.08604206500956023,0.0019120458891013384,0.0019120458891013384,0.0019120458891013384,0.09751434034416825,0.0076481835564053535,0.0019120458891013384,0.0038240917782026767,0.07839388145315487,0.09369024856596558,0.0057361376673040155,0.13766730401529637,0.0,0.0019120458891013384,0.0019120458891013384,0.0019120458891013384,0.0
Cassandro,VECCHI,MALE,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
Cataldo,VECCHI,MALE,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Cavicchio,SERVI,MALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cinzio,INNAMORATI,MALE,0.08163265306122448,0.030612244897959183,0.04081632653061224,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.09183673469387756,0.08163265306122448,0.0,0.10204081632653061,0.05102040816326531,0.0,0.0,0.0,0.12244897959183673,0.0,0.01020408163265306,0.0,0.16326530612244897,0.07142857142857142,0.0,0.1326530612244898,0.0,0.01020408163265306,0.0,0.0,0.0
Claudione,VECCHI,MALE,0.10256410256410256,0.15384615384615385,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.05128205128205128,0.05128205128205128,0.0,0.07692307692307693,0.1282051282051282,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.05128205128205128,0.15384615384615385,0.0,0.10256410256410256,0.0,0.02564102564102564,0.0,0.0,0.0
Fabrizio,INNAMORATI,MALE,0.08108108108108109,0.08108108108108109,0.10810810810810811,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.05405405405405406,0.10810810810810811,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.10810810810810811,0.13513513513513514,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.0
Flaminia,INNAMORATI,FEMALE,0.07861635220125786,0.040880503144654086,0.08018867924528301,0.0015723270440251573,0.0015723270440251573,0.0015723270440251573,0.014150943396226415,0.0031446540880503146,0.0047169811320754715,0.0047169811320754715,0.0959119496855346,0.0015723270440251573,0.08490566037735849,0.07547169811320754,0.0015723270440251573,0.0015723270440251573,0.0,0.10849056603773585,0.009433962264150943,0.0015723270440251573,0.0031446540880503146,0.12421383647798742,0.0959119496855346,0.0047169811320754715,0.14150943396226415,0.0015723270440251573,0.007861635220125786,0.0015723270440251573,0.0015723270440251573,0.0015723270440251573
